ds,unique_id,y
2009-01-01 01:00:00,1,30360.0
2009-01-01 02:00:00,1,29155.0
2009-01-01 03:00:00,1,28086.0
2009-01-01 04:00:00,1,28031.0
2009-01-01 05:00:00,1,27730.0
2009-01-01 06:00:00,1,30490.0
2009-01-01 07:00:00,1,37081.0
2009-01-01 08:00:00,1,46975.0
2009-01-01 09:00:00,1,57261.0
2009-01-01 10:00:00,1,63679.0
2009-01-01 11:00:00,1,65123.0
2009-01-01 12:00:00,1,65142.0
2009-01-01 13:00:00,1,64745.0
2009-01-01 14:00:00,1,64783.0
2009-01-01 15:00:00,1,64607.0
2009-01-01 16:00:00,1,61089.0
2009-01-01 17:00:00,1,52406.0
2009-01-01 18:00:00,1,50328.0
2009-01-01 19:00:00,1,52425.0
2009-01-01 20:00:00,1,50457.0
2009-01-01 21:00:00,1,41577.0
2009-01-01 22:00:00,1,36002.0
2009-01-01 23:00:00,1,33522.0
2009-01-02 00:00:00,1,30625.0
2009-01-02 01:00:00,1,29060.0
2009-01-02 02:00:00,1,27586.0
2009-01-02 03:00:00,1,26846.0
2009-01-02 04:00:00,1,26561.0
2009-01-02 05:00:00,1,26626.0
2009-01-02 06:00:00,1,29623.0
2009-01-02 07:00:00,1,36612.0
2009-01-02 08:00:00,1,48735.0
2009-01-02 09:00:00,1,57640.0
2009-01-02 10:00:00,1,62674.0
2009-01-02 11:00:00,1,64199.0
2009-01-02 12:00:00,1,63426.0
2009-01-02 13:00:00,1,62501.0
2009-01-02 14:00:00,1,63652.0
2009-01-02 15:00:00,1,63210.0
2009-01-02 16:00:00,1,62199.0
2009-01-02 17:00:00,1,54278.0
2009-01-02 18:00:00,1,50700.0
2009-01-02 19:00:00,1,52979.0
2009-01-02 20:00:00,1,50947.0
2009-01-02 21:00:00,1,41600.0
2009-01-02 22:00:00,1,35936.0
2009-01-02 23:00:00,1,32087.0
2009-01-03 00:00:00,1,29645.0
2009-01-03 01:00:00,1,28288.0
2009-01-03 02:00:00,1,26990.0
2009-01-03 03:00:00,1,26284.0
2009-01-03 04:00:00,1,26047.0
2009-01-03 05:00:00,1,25965.0
2009-01-03 06:00:00,1,27347.0
2009-01-03 07:00:00,1,29320.0
2009-01-03 08:00:00,1,33989.0
2009-01-03 09:00:00,1,44474.0
2009-01-03 10:00:00,1,51617.0
2009-01-03 11:00:00,1,52517.0
2009-01-03 12:00:00,1,50691.0
2009-01-03 13:00:00,1,47800.0
2009-01-03 14:00:00,1,47629.0
2009-01-03 15:00:00,1,46962.0
2009-01-03 16:00:00,1,46680.0
2009-01-03 17:00:00,1,45825.0
2009-01-03 18:00:00,1,46635.0
2009-01-03 19:00:00,1,50761.0
2009-01-03 20:00:00,1,49260.0
2009-01-03 21:00:00,1,40557.0
2009-01-03 22:00:00,1,34675.0
2009-01-03 23:00:00,1,31996.0
2009-01-04 00:00:00,1,29536.0
2009-01-04 01:00:00,1,28364.0
2009-01-04 02:00:00,1,26949.0
2009-01-04 03:00:00,1,25615.0
2009-01-04 04:00:00,1,25146.0
2009-01-04 05:00:00,1,24969.0
2009-01-04 06:00:00,1,24833.0
2009-01-04 07:00:00,1,23998.0
2009-01-04 08:00:00,1,25935.0
2009-01-04 09:00:00,1,35521.0
2009-01-04 10:00:00,1,41549.0
2009-01-04 11:00:00,1,42181.0
2009-01-04 12:00:00,1,42797.0
2009-01-04 13:00:00,1,42573.0
2009-01-04 14:00:00,1,42768.0
2009-01-04 15:00:00,1,42478.0
2009-01-04 16:00:00,1,41759.0
2009-01-04 17:00:00,1,41730.0
2009-01-04 18:00:00,1,43558.0
2009-01-04 19:00:00,1,46955.0
2009-01-04 20:00:00,1,45841.0
2009-01-04 21:00:00,1,37817.0
2009-01-04 22:00:00,1,31649.0
2009-01-04 23:00:00,1,28601.0
2009-01-05 00:00:00,1,28846.0
2009-01-05 01:00:00,1,27669.0
2009-01-05 02:00:00,1,26661.0
2009-01-05 03:00:00,1,25805.0
2009-01-05 04:00:00,1,26181.0
2009-01-05 05:00:00,1,27499.0
2009-01-05 06:00:00,1,30108.0
2009-01-05 07:00:00,1,36221.0
2009-01-05 08:00:00,1,47377.0
2009-01-05 09:00:00,1,58317.0
2009-01-05 10:00:00,1,63803.0
2009-01-05 11:00:00,1,64688.0
2009-01-05 12:00:00,1,64566.0
2009-01-05 13:00:00,1,63859.0
2009-01-05 14:00:00,1,65080.0
2009-01-05 15:00:00,1,63998.0
2009-01-05 16:00:00,1,61603.0
2009-01-05 17:00:00,1,52972.0
2009-01-05 18:00:00,1,50044.0
2009-01-05 19:00:00,1,51883.0
2009-01-05 20:00:00,1,50579.0
2009-01-05 21:00:00,1,41658.0
2009-01-05 22:00:00,1,35432.0
2009-01-05 23:00:00,1,30607.0
2009-01-06 00:00:00,1,26446.0
2009-01-06 01:00:00,1,25501.0
2009-01-06 02:00:00,1,24399.0
2009-01-06 03:00:00,1,23654.0
2009-01-06 04:00:00,1,23693.0
2009-01-06 05:00:00,1,24533.0
2009-01-06 06:00:00,1,26592.0
2009-01-06 07:00:00,1,34911.0
2009-01-06 08:00:00,1,45499.0
2009-01-06 09:00:00,1,56231.0
2009-01-06 10:00:00,1,62163.0
2009-01-06 11:00:00,1,62925.0
2009-01-06 12:00:00,1,62755.0
2009-01-06 13:00:00,1,62442.0
